web-scraper-order,web-scraper-start-url,base_link,base_link-href,superficie,price,adresse,img
"1740005873-1","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-2695250","150 m2","3 500 000 CFA","Patte d'Oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695250_uploaded_image2_1602704314.jpeg""); width: 671px;"
"1740005875-2","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-16-hectares-diamniadio-2695658","160000 m2","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695658_uploaded_image1_1602715993.jpg""); width: 671px;"
"1740005880-3","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-3000-m-cite-keur-gorgui-2695688","3000 m2","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2695688_uploaded_image1_1602716962.jpg""); width: 671px;"
"1740005884-4","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-83886-m-mbour-2696651","83886","13 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2696651_uploaded_image1_1602762205.jpg""); width: 671px;"
"1740005889-5","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-300m2-sly-joseph-2696706","300","6 000 000 CFA","Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2696706_uploaded_image1_1602764051.jpg""); width: 671px;"
"1740005891-6","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-165-m2-keur-massar-2696866","165","17 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2696866_uploaded_image1_1602767323.jpg""); width: 671px;"
"1740005896-7","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-diass-2696911","225","1 700 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2696911_uploaded_image1_1602768350.jpg""); width: 671px;"
"1740005900-8","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2697352","150 m2","7 000 000 CFA","Sebikotane, Sénégal","background-image: url(""https://images.coinafrique.com/2697352_uploaded_image1_1602779661.jpg""); width: 671px;"
"1740005903-9","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-500-m-fenetre-mermoz-2697357","500","675 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2697357_uploaded_image1_1602779756.jpg""); width: 671px;"
"1740005907-10","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-ouest-foire-2697415","150","48 000 000 CFA","Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2697415_uploaded_image1_1602781189.jpg""); width: 671px;"
"1740005912-11","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-168-m-yoff-2697429","168","47 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2697429_uploaded_image1_1602781526.jpg""); width: 671px;"
"1740005917-12","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-160-m-keur-massar-2697445","160","15 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2697445_uploaded_image1_1602781781.jpg""); width: 671px;"
"1740005921-13","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-1800-m2-saint-louis-2698114","1800","15 000 000 CFA","Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/2698114_uploaded_image1_1602807336.jpg""); width: 671px;"
"1740005926-14","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-16-ha-diamniadio-2698638","160000","3 000 000 000 CFA","Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2698638_uploaded_image1_1602844037.jpg""); width: 671px;"
"1740005929-15","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-5777-m-yoff-2698675","","Prix sur demande","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2698675_uploaded_image1_1602845051.jpg""); width: 671px;"
"1740005934-16","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-diamniadio-2698893","300","2 000 000 CFA","Diamniadio, Sénégal",""
"1740005939-17","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-dakar-plateau-2699041","150","3 500 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2699041_uploaded_image1_1602852852.jpg""); width: 671px;"
"1740005944-18","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-300-m-thies-2699228","300","3 500 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2699228_uploaded_image1_1602857495.jpg""); width: 671px;"
"1740005949-19","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-100000-m2-mboro-2699318","100000","100 000 000 CFA","Mboro, Sénégal","background-image: url(""https://images.coinafrique.com/2699318_uploaded_image1_1602861068.jpg""); width: 671px;"
"1740005952-20","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-500-m-ouest-foire-2699571","500","300 000 CFA","Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2699571_uploaded_image1_1602867896.jpg""); width: 671px;"
"1740005957-21","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-daouda-sarr-2699663","150 m2","5 500 000 CFA","Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2699663_uploaded_image1_1602870736.jpg""); width: 671px;"
"1740005962-22","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-1800-m-saint-louis-2699850","1800","15 000 000 CFA","Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/2699850_uploaded_image1_1602877012.jpg""); width: 671px;"
"1740005966-23","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-centre-ville-2699897","150 m2","35 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2699897_uploaded_image1_1602878350.jpg""); width: 671px;"
"1740005970-24","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-180m-dalifort-2699930","180 m2","32 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2699930_uploaded_image1_1602879287.jpg""); width: 671px;"
"1740005973-25","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-rufisque-2700146","150","9 000 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2700146_uploaded_image1_1602887718.jpg""); width: 671px;"
"1740005976-26","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-60000m-thies-2701178","60000","90 000 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2701178_uploaded_image1_1602939737.jpg""); width: 671px;"
"1740005980-27","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-30000-m-mboro-2701196","30000","40 000 000 CFA","Mboro, Sénégal","background-image: url(""https://images.coinafrique.com/2701196_uploaded_image1_1602940150.jpg""); width: 671px;"
"1740005985-28","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-bambilor-2701700","150 m2","2 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2701700_uploaded_image1_1602955904.jpg""); width: 671px;"
"1740005989-29","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2701926","150 m2","7 500 000 CFA","Sebikotane, Sénégal","background-image: url(""https://images.coinafrique.com/2701926_uploaded_image1_1602964692.jpg""); width: 671px;"
"1740005994-30","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m-dakar-2702100","150","1 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2702100_uploaded_image1_1602972211.jpg""); width: 671px;"
"1740005998-31","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-rufisque-2702139","150 m2","7 500 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2702139_uploaded_image1_1602973500.jpg""); width: 671px;"
"1740006003-32","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-diass-2703407","150 m2","3 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2703407_uploaded_image1_1603040328.jpg""); width: 671px;"
"1740006007-33","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-225-m-mbour-2703441","225","2 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2703441_uploaded_image1_1603041661.jpg""); width: 671px;"
"1740006012-34","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-bambilor-2703527","15 m2","1 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2703527_uploaded_image1_1603046130.jpg""); width: 671px;"
"1740006017-35","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-bambilor-gorom-2703610","150 m2","2 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2703610_uploaded_image1_1603049234.jpg""); width: 671px;"
"1740006022-36","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-bambylor-gorom-2703752","150 m2","2 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2703752_uploaded_image1_1603052808.jpg""); width: 671px;"
"1740006029-37","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-sindia-thiafoura-guereo-2703767","300","2 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2703767_uploaded_image2_1603053586.jpeg""); width: 671px;"
"1740006034-38","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-cite-apix-tivaoune-2704139","150 m2","23 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2704139_uploaded_image1_1603071789.jpg""); width: 671px;"
"1740006037-39","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-tivaouane-peulh-2704147","","23 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2704147_uploaded_image1_1603072410.jpg""); width: 671px;"
"1740006040-40","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-thies-2704518","300","3 500 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2704518_uploaded_image1_1603100860.jpg""); width: 671px;"
"1740006042-41","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-montagne-nord-louga-2705048","","3 500 000 CFA","Louga, Sénégal","background-image: url(""https://images.coinafrique.com/2705048_uploaded_image1_1603115652.jpg""); width: 671px;"
"1740006045-42","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-ngor-2705437","637","500 000 CFA","Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2705437_uploaded_image1_1603124740.jpg""); width: 671px;"
"1740006048-43","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-373-m-yoff-2705470","373","175 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2705470_uploaded_image1_1603125465.jpg""); width: 671px;"
"1740006051-44","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-400-m2-malikounda-2705590","400","7 000 000 CFA","Malikounda, Sénégal","background-image: url(""https://images.coinafrique.com/2705590_uploaded_image1_1603129364.jpg""); width: 671px;"
"1740006054-45","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-bambylor-gorom-2706031","150 m2","1 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2706031_uploaded_image1_1603145630.jpg""); width: 671px;"
"1740006059-46","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2706099","","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2706099_uploaded_image3_1603148083.jpeg""); width: 671px;"
"1740006063-47","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains106-ha-diass-2706122","106000000 m2","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2706122_uploaded_image1_1603148801.jpg""); width: 671px;"
"1740006065-48","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/parcelles-250-m-sangue-2707415","250 m2","9 000 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2707415_uploaded_image2_1603200736.jpeg""); width: 671px;"
"1740006068-49","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/parcelles-200-m2-momboye-2707433","200 m2","1 500 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2707433_uploaded_image1_1603201179.jpg""); width: 671px;"
"1740006071-50","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-bambilor-2707518","150 m2","2 800 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2707518_uploaded_image2_1603203111.jpeg""); width: 671px;"
"1740006073-51","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-309-m2-cite-mourtada-2707703","309","135 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2707703_uploaded_image1_1603206980.jpg""); width: 671px;"
"1740006076-52","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-200-m2-ouest-foire-2707934","200","55 000 000 CFA","Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2707934_uploaded_image1_1603213209.jpg""); width: 671px;"
"1740006079-53","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-1600-m2-ngekhokh-2708610","1600","Prix sur demande","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2708610_uploaded_image1_1603239842.jpg""); width: 671px;"
"1740006083-54","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-500-m2-saly-2708627","500","17 000 000 CFA","Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2708627_uploaded_image1_1603241377.jpg""); width: 671px;"
"1740006085-55","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-300-m2-sindia-2708629","400","5 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2708629_uploaded_image1_1603241568.jpg""); width: 671px;"
"1740006088-56","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-400-m2-yene-2708631","","10 000 000 CFA","Toubab Dialao, Sénégal","background-image: url(""https://images.coinafrique.com/2708631_uploaded_image1_1603241795.jpg""); width: 671px;"
"1740006091-57","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-200-m2-ouest-foire-2709099","200","55 000 000 CFA","Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2709099_uploaded_image2_1603274719.jpeg""); width: 671px;"
"1740006093-58","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-technopole-2709722","150 m2","25 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2709722_uploaded_image1_1603288533.jpg""); width: 671px;"
"1740006096-59","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-kounoune-2710292","150 m2","12 000 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2710292_uploaded_image1_1603306433.jpg""); width: 671px;"
"1740006098-60","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2000m-ngaparou-2710440","2000 m2","70 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2710440_uploaded_image1_1603311715.jpg""); width: 671px;"
"1740006102-61","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-zac-de-mbao-2710595","159 m2","25 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2710595_uploaded_image1_1603318250.jpg""); width: 671px;"
"1740006106-62","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-225-m2-ndiass-2711072","225","1 000 000 CFA","Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2711072_uploaded_image1_1603357030.jpg""); width: 671px;"
"1740006108-63","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-massar-2711640","150 m2","8 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2711640_uploaded_image1_1603370505.jpg""); width: 671px;"
"1740006111-64","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-mbour-santhian-2711961","180 m2","3 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2711961_uploaded_image1_1603377485.jpg""); width: 671px;"
"1740006114-65","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-352-m-cite-biagui-2712118","352","175 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2712118_uploaded_image1_1603381006.jpg""); width: 671px;"
"1740006118-66","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-225-m-thies-2712591","225","1 600 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2712591_uploaded_image1_1603395426.jpg""); width: 671px;"
"1740006120-67","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-rufisque-2713011","150","8 500 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2713011_uploaded_image1_1603410532.jpg""); width: 671px;"
"1740006124-68","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-lac-rose-2713032","","2 000 000 CFA","Bargny, Sénégal","background-image: url(""https://images.coinafrique.com/2713032_uploaded_image1_1603412525.jpg""); width: 671px;"
"1740006126-69","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-tivaouane-peulh-2713079","150 m2","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2713079_uploaded_image1_1603418070.jpg""); width: 671px;"
"1740006130-70","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-2713450","150 m2","13 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2713450_uploaded_image1_1603445306.jpg""); width: 671px;"
"1740006134-71","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-167-m2-yoff-2713747","167","47 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2713747_uploaded_image2_1603453800.jpeg""); width: 671px;"
"1740006137-72","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-diass-2714360","225","2 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2714360_uploaded_image1_1603470704.jpg""); width: 671px;"
"1740006140-73","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-rufisque-2714507","150","3 500 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2714507_uploaded_image2_1603475564.jpeg""); width: 671px;"
"1740006143-74","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-rufisque-2714794","150 m2","7 500 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2714794_uploaded_image1_1603487594.jpg""); width: 671px;"
"1740006145-75","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-rufisque-2714855","150","1 500 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2714855_uploaded_image1_1603490378.jpg""); width: 671px;"
"1740006149-76","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-1000m-diamniadio-2714999","1000","16 000 000 CFA","Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2714999_uploaded_image1_1603498220.jpg""); width: 671px;"
"1740006152-77","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-1082m-point-e-2715028","1082","Prix sur demande","Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2715028_uploaded_image1_1603501953.jpg""); width: 671px;"
"1740006155-78","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-225-m-ndiass-2715078","225","2 500 000 CFA","Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2715078_uploaded_image1_1603509662.jpg""); width: 671px;"
"1740006158-79","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m-ndiass-2715081","225","1 000 000 CFA","Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2715081_uploaded_image1_1603509985.jpg""); width: 671px;"
"1740006161-80","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-208-m-sicap-liberte-6-2715184","208","70 000 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2715184_uploaded_image1_1603524934.jpg""); width: 671px;"
"1740006166-81","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-100-ha-thies-2715254","1000000 m2","260 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2715254_uploaded_image1_1603527745.jpg""); width: 671px;"
"1740006169-82","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-1300m-mbour-2715311","1300","55 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2715311_uploaded_image1_1603529832.jpg""); width: 671px;"
"1740006172-83","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-bambilor-goromm-2715391","","2 500 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2715391_uploaded_image1_1603533152.jpg""); width: 671px;"
"1740006175-84","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-340m-ndiass-2715572","340","2 000 000 CFA","Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2715572_uploaded_image1_1603538611.jpg""); width: 671px;"
"1740006189-85","https://sn.coinafrique.com/categorie/terrains?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-340m-ndiass-2715582","340","2 000 000 CFA","Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2715582_uploaded_image1_1603538812.jpg""); width: 671px;"
"1740006192-86","https://sn.coinafrique.com/categorie/terrains?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-rufisque-2716697","150","1 500 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2716697_uploaded_image1_1603592076.jpg""); width: 671px;"
"1740006195-87","https://sn.coinafrique.com/categorie/terrains?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2716707","150 m2","2 500 000 CFA","Sebikotane, Sénégal","background-image: url(""https://images.coinafrique.com/2716707_uploaded_image1_1603595400.jpg""); width: 671px;"
"1740006198-88","https://sn.coinafrique.com/categorie/terrains?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m-dakar-2716998","150","2 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2716998_uploaded_image1_1603624193.jpg""); width: 671px;"
"1740006201-89","https://sn.coinafrique.com/categorie/terrains?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-keur-massar-2717140","150","7 500 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2717140_uploaded_image1_1603629571.jpg""); width: 671px;"
"1740006205-90","https://sn.coinafrique.com/categorie/terrains?page=118","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-rufisque-2717162","150","15 000 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2717162_uploaded_image1_1603630313.jpg""); width: 671px;"
